file,xmin,ymin,xmax,ymax
b101-9_t.png,269,216,745,737
b102-0_t.png,284,131,613,733
b104-8_t.png,33,29,717,736
b105-2_t.png,39,43,773,738
b106-8_t.png,41,30,591,736
b107-9_t.png,108,30,636,767
b108-6_t.png,309,45,769,767
b109-4_t.png,161,30,591,729
b110-6_t.png,216,33,769,737
b111-7_t.png,93,29,661,767
b112-2_t.png,25,53,438,741
b114-3_t.png,130,30,554,661
b115-8_t.png,103,144,597,736
b116-6_t.png,0,30,769,767
b117-0_t.png,32,30,623,671
b118-8_t.png,43,71,632,734
b119-0_t.png,161,143,660,734
b120-9_t.png,125,45,562,638
b121-7_t.png,107,158,569,733
b122-4_t.png,154,0,772,737
b123-1_t.png,314,183,769,638
b124-5_t.png,128,151,549,729
b126-1_t.png,175,31,779,737
b127-6_t.png,24,33,681,731
b129-7_t.png,156,174,765,767
b130-1_t.png,30,121,771,740
b132-7_t.png,217,34,799,737
b134-9_t.png,171,0,655,737
b135-8_t.png,0,29,769,739
b136-8_t.png,67,30,542,617
b137-6_t.png,265,119,765,712
b138-3_t.png,178,30,759,709
b139-2_t.png,263,202,667,737
b140-8_t.png,33,130,665,739
b141-4_t.png,223,128,652,719
b142-1_t.png,30,32,734,719
b143-6_t.png,0,30,767,738
b144-3_t.png,42,28,717,683
b145-8_t.png,144,30,756,767
b146-6_t.png,167,36,774,737
b147-7_t.png,30,152,521,743
b148-6_t.png,31,30,770,767
b150-3_t.png,150,117,762,767
b151-9_t.png,30,30,580,737
b152-8_t.png,32,149,767,733
b153-1_t.png,30,31,769,739
b154-6_t.png,203,57,769,739
b155-6_t.png,71,30,773,675
b157-7_t.png,72,154,626,737
b158-8_t.png,187,0,769,626
b161-1_t.png,101,102,770,767
b163-7_t.png,125,30,614,767
b164-3_t.png,30,131,621,767
b165-7_t.png,134,210,589,767
b166-3_t.png,30,30,509,738
b167-2_t.png,41,31,505,738
b168-1_t.png,278,118,769,739
b169-2_t.png,188,173,636,742
b170-7_t.png,163,44,625,738
b171-7_t.png,29,28,777,745
b172-1_t.png,217,35,799,737
b173-9_t.png,174,194,627,767
b175-6_t.png,29,30,761,737
b176-7_t.png,275,28,768,734
b177-6_t.png,30,235,701,738
b179-2_t.png,233,51,635,767
b180-4_t.png,172,194,645,735
b181-8_t.png,76,30,515,644
b182-7_t.png,280,31,770,737
b183-1_t.png,116,39,769,701
b185-7_t.png,38,31,768,767
b187-2_t.png,33,29,710,738
b188-7_t.png,80,30,686,737
b189-7_t.png,86,30,661,737
b190-8_t.png,30,30,799,732
b191-3_t.png,122,28,571,717
b192-9_t.png,106,161,676,737
b193-2_t.png,30,66,521,737
b194-8_t.png,0,44,567,745
b195-3_t.png,119,118,613,732
b196-7_t.png,245,143,628,734
b197-8_t.png,139,30,663,741
b198-6_t.png,141,30,799,752
b199-1_t.png,207,58,769,717
b200-6_t.png,30,31,798,735
g001-2_t.png,81,59,765,740
g002-3_t.png,137,29,769,767
g003-8_t.png,184,33,799,736
g004-8_t.png,31,113,576,732
g005-8_t.png,122,124,584,737
g006-6_t.png,30,30,769,767
g007-1_t.png,0,30,768,740
g008-6_t.png,131,34,771,737
g009-8_t.png,72,271,606,739
g011-7_t.png,193,191,613,738
g012-8_t.png,105,139,617,715
g013-4_t.png,382,29,755,613
g014-7_t.png,307,65,744,739
g016-8_t.png,116,39,585,737
g017-9_t.png,30,168,595,737
g018-6_t.png,215,30,799,753
g019-1_t.png,250,50,744,767
g020-6_t.png,251,30,770,744
g021-7_t.png,108,30,741,747
g023-6_t.png,29,30,738,737
g026-9_t.png,242,39,799,737
g027-6_t.png,362,158,765,739
g028-1_t.png,176,29,769,739
g029-9_t.png,234,123,645,767
g030-1_t.png,296,215,636,737
g031-6_t.png,215,71,764,737
g032-6_t.png,238,30,769,723
g033-7_t.png,403,30,767,634
g034-6_t.png,187,45,703,680
g035-6_t.png,19,8,770,737
g036-6_t.png,182,28,771,767
g037-6_t.png,210,0,730,721
g038-6_t.png,30,30,770,737
g039-4_t.png,240,30,610,662
g040-6_t.png,123,36,756,730
g041-6_t.png,0,30,759,737
g042-2_t.png,144,188,537,736
g043-8_t.png,228,20,769,739
g044-7_t.png,105,36,572,735
g045-9_t.png,36,415,517,739
g046-1_t.png,193,32,770,753
g047-4_t.png,31,29,679,767
g049-3_t.png,30,205,682,736
g050-7_t.png,134,110,700,737
g051-6_t.png,0,30,799,737
g052-9_t.png,102,163,689,737
g053-6_t.png,202,221,665,737
g055-3_t.png,41,28,504,593
g056-9_t.png,143,157,665,737
g057-4_t.png,84,109,762,737
g058-4_t.png,207,203,671,737
g059-1_t.png,172,30,799,737
g060-1_t.png,28,49,686,741
g061-4_t.png,189,30,769,737
g062-9_t.png,142,31,618,767
g063-2_t.png,156,72,674,736
g064-1_t.png,228,57,769,740
g065-6_t.png,251,31,684,725
g066-4_t.png,177,30,736,736
g068-6_t.png,177,171,683,642
g069-7_t.png,30,156,490,737
g070-2_t.png,42,137,746,738
g071-2_t.png,31,69,487,738
g072-1_t.png,239,142,769,739
g073-8_t.png,32,37,588,737
g074-3_t.png,40,26,770,739
g075-3_t.png,89,85,778,736
g076-3_t.png,48,29,744,767
g077-1_t.png,222,51,799,737
g078-3_t.png,130,170,596,680
g079-1_t.png,142,138,652,605
g080-8_t.png,66,30,799,767
g081-1_t.png,188,260,769,740
g082-6_t.png,149,62,769,737
g083-8_t.png,92,0,682,608
g084-6_t.png,156,26,676,737
g085-2_t.png,158,252,769,738
g086-9_t.png,263,27,799,721
g087-8_t.png,177,167,692,737
g088-7_t.png,109,126,702,742
g089-0_t.png,84,0,596,590
g090-5_t.png,222,0,662,612
g092-3_t.png,30,30,719,739
g093-8_t.png,221,27,621,626
g094-6_t.png,36,29,769,580
g095-6_t.png,176,35,769,767
g096-2_t.png,160,30,765,736
g099-9_t.png,339,11,769,555
u201-6_t.png,29,30,769,736
u202-8_t.png,218,274,669,742
u204-2_t.png,142,129,557,736
u205-4_t.png,37,30,714,737
u206-3_t.png,396,30,771,739
u209-7_t.png,104,64,687,738
u211-8_t.png,127,30,746,726
u212-2_t.png,25,111,667,767
u213-5_t.png,35,27,594,738
u214-5_t.png,133,211,536,730
u215-8_t.png,175,136,554,725
u216-4_t.png,189,25,768,735
u217-6_t.png,15,31,770,739
u218-1_t.png,115,35,769,743
u220-5_t.png,136,143,512,736
u221-9_t.png,158,0,758,721
u222-3_t.png,106,78,714,734
u223-6_t.png,30,28,769,737
u224-6_t.png,28,31,767,666
u225-6_t.png,0,29,771,739
u226-3_t.png,113,212,639,767
u227-6_t.png,30,30,720,740
u228-3_t.png,33,30,731,737
u229-2_t.png,164,218,636,735
u230-6_t.png,30,32,753,737
u231-2_t.png,30,29,771,556
u232-4_t.png,157,161,570,737
u233-6_t.png,187,28,769,736
u235-4_t.png,110,30,583,743
u236-2_t.png,29,54,629,738
u237-1_t.png,299,49,770,737
u238-1_t.png,198,155,686,732
u240-1_t.png,163,132,740,740
u241-6_t.png,173,40,770,668
u242-1_t.png,264,135,769,737
u243-8_t.png,187,29,750,636
u245-7_t.png,47,25,799,745
u246-8_t.png,191,157,567,737
u247-1_t.png,261,31,799,717
u249-3_t.png,210,30,609,733
u250-1_t.png,306,163,769,739
u251-1_t.png,282,30,771,741
u252-6_t.png,30,28,765,767
u253-9_t.png,141,235,680,737
u254-3_t.png,205,159,618,738
u255-1_t.png,243,65,768,739
u256-7_t.png,288,134,680,767
u257-3_t.png,38,137,636,741
u258-1_t.png,187,34,764,599
u259-7_t.png,100,161,617,738
u260-8_t.png,119,28,706,741
u261-6_t.png,30,30,779,738
u263-1_t.png,30,38,771,739
u265-3_t.png,184,170,562,687
u266-3_t.png,175,125,685,736
u267-3_t.png,315,52,799,654
u268-4_t.png,115,101,571,747
u269-3_t.png,140,28,614,734
u270-6_t.png,187,45,703,680
u271-6_t.png,183,39,770,738
u272-9_t.png,59,138,720,733
u273-6_t.png,183,30,734,728
u274-9_t.png,256,33,687,613
u276-6_t.png,29,0,799,738
u277-9_t.png,155,163,664,737
u280-5_t.png,214,253,559,767
u281-7_t.png,284,138,685,736
u282-2_t.png,31,204,492,650
u283-6_t.png,190,30,770,735
u284-2_t.png,27,68,773,738
u285-4_t.png,30,30,620,711
u286-6_t.png,219,52,769,690
u287-3_t.png,157,126,731,737
u288-6_t.png,29,30,769,737
u289-6_t.png,220,30,728,604
u290-4_t.png,32,30,500,737
u291-6_t.png,214,41,769,737
u292-1_t.png,170,163,769,739
u293-1_t.png,325,30,770,731
u294-6_t.png,28,0,773,737
u295-1_t.png,199,84,769,608
u296-6_t.png,286,38,799,739
u298-2_t.png,147,31,769,734
u299-8_t.png,278,29,799,678
u300-2_t.png,262,150,774,643
